imagen_idx,paso_mean_px,paso_std_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,68.5294,0.6056,2.0000,2869.7409,25.3896,116.0819,1.2144,18
4,72.0588,0.7252,2.0000,3017.5387,30.3958,110.3963,1.2714,18
7,68.4706,0.6056,2.0000,2867.2776,25.3896,116.1816,1.2162,18
10,64.9474,0.6047,2.0000,2719.7390,25.3477,122.4842,1.3307,20
13,61.8947,0.4466,2.0000,2591.9069,18.7331,128.5251,1.1738,20
16,54.2174,0.5866,2.0000,2270.4100,24.5809,146.7246,1.7873,24
19,59.0476,0.5754,2.0000,2472.6809,24.1170,134.7222,1.5141,22
22,59.0476,0.4856,2.0000,2472.6809,20.3622,134.7222,1.3404,22
25,61.9474,0.6862,2.0000,2594.1109,28.7572,128.4159,1.5939,20
28,68.3529,0.4779,2.0000,2862.3510,20.0478,116.3816,1.0424,18
