imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,68.52941176470588,0.6056253024110001,0.6063048310721608,2.0,2869.740861168588,25.418073659534436,116.08190987124463,1.2154024210579943,18
4,72.05882352941177,0.7252251768198796,0.725852678618871,2.0,3017.538673760961,30.422095410764534,110.39626530612246,1.2722707189645155,18
7,68.47058823529412,0.6056253024110001,0.6063036656523566,2.0,2867.2775642920483,25.417976162242056,116.18163659793817,1.2171912044463962,18
10,64.94736842105263,0.6046908048987398,0.6053021291693745,2.0,2719.7390461077316,25.373234365841235,122.48417747163695,1.3317008700822992,20
13,61.89473684210526,0.4465937565388721,0.44734525985959656,2.0,2591.9069029357306,18.764468292794312,128.52506377551023,1.175048667842002,20
16,54.21739130434783,0.5865538070970453,0.5869930534396792,2.0,2270.410021120093,24.59932878309775,146.72459903769044,1.7883914958458578,24
19,59.04761904761905,0.5753831415997416,0.5759142077627746,2.0,2472.6808646406635,24.139228838618035,134.72219758064517,1.515118777009972,22
22,59.04761904761905,0.48562090605645575,0.4862500174446568,2.0,2472.6808646406635,20.388539193389693,134.72219758064517,1.3415701060596883,22
25,61.94736842105263,0.6862318321265947,0.686721973263399,2.0,2594.1109054042136,28.777712094478723,128.41586661002552,1.5948370423494955,20
28,68.3529411764706,0.47788461203740945,0.4787410654309905,2.0,2862.3509705389692,20.083584145261046,116.38160499139416,1.0435796232626997,18
