imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,68.5294,0.7759,0.7765,2.0000,2869.7409,32.5375,116.0819,1.4671,18
4,72.0588,1.1099,1.1103,2.0000,3017.5387,46.5117,110.3963,1.8098,18
7,68.4706,0.6960,0.6966,2.0000,2867.2776,29.1955,116.1816,1.3492,18
10,64.9474,0.6862,0.6868,2.0000,2719.7390,28.7818,122.4842,1.4655,20
13,61.8421,0.5861,0.5867,2.0000,2589.7029,24.5906,128.6344,1.4170,20
16,54.2174,0.6565,0.6569,2.0000,2270.4100,27.5248,146.7246,1.9584,24
19,59.0000,0.6901,0.6905,2.0000,2470.6868,28.9342,134.8309,1.7493,22
22,59.0952,0.6098,0.6103,2.0000,2474.6750,25.5789,134.6136,1.5814,22
25,62.0000,0.7947,0.7951,2.0000,2596.3149,33.3152,128.3069,1.7955,20
28,68.3529,0.6809,0.6815,2.0000,2862.3510,28.5651,116.3816,1.3309,18
