imagen_idx,paso_mean_px,paso_std_px,error_total_px,r_opt_pix,delta_y_um,err_delta_y_um,a_um,err_a_um,n_peaks
1,69.0,2.250925735484551,2.2511111827716848,4.896551724137931,2889.447236180904,94.27540262909831,115.29021739130435,3.8163100215169368,16
4,69.6,2.388863048955856,2.389040841041612,2.9655172413793105,2914.5728643216075,100.05103098396523,114.29633620689657,3.9751070557037345,16
7,68.6,2.524546163834865,2.524709601525256,5.862068965517242,2872.696817420435,105.73170136667304,115.96246355685133,4.3169132935119245,16
10,64.4375,2.621277121938846,2.621416006599661,9.724137931034484,2698.3877721943045,109.78035527230519,123.45334626576141,5.069614723970875,17
13,61.5625,1.869784412706449,1.869962126722684,4.896551724137931,2577.9941373534334,78.31406297534615,129.2186802030457,3.991144976181583,17
16,54.61904761904762,1.9142620230706455,1.9143986614564446,4.896551724137931,2287.2297997926134,80.17316960177992,145.6456190061029,5.1696056817997675,22
19,57.44444444444444,1.7391639824998364,1.7393303376014195,2.9655172413793105,2405.5462497673548,72.84324442185057,138.4820599613153,4.264113590138838,19
22,58.80952380952381,2.574953492303957,2.57507125760989,3.931034482758621,2462.7103772832415,107.83873607748444,135.26763157894737,5.9711414184824765,22
25,62.529411764705884,2.452313363020686,2.4524531548225896,3.931034482758621,2618.4845797615526,102.70489692867261,127.2205315145814,5.040277946135025,18
28,67.8,2.1354156504062622,2.1356043883128795,4.896551724137931,2839.195979899497,89.4385724263365,117.33075221238938,3.7536868253237032,16
